Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team
2023-08-13,21:30,La Liga,Matchweek 1,Sun,Home,D,0,0,Barcelona,0.6,1.4,26.0,13410,Djené,4-5-1,4-2-3-1,César Soto,Match Report,,2023-2024,Getafe
2023-08-20,19:00,La Liga,Matchweek 2,Sun,Away,L,0,3,Girona,0.7,1.4,37.0,11784,Djené,4-2-3-1,4-1-4-1,Jorge Figueroa,Match Report,,2023-2024,Getafe
2023-08-28,19:30,La Liga,Matchweek 3,Mon,Home,W,1,0,Alavés,2.2,0.7,47.0,11023,Djené,4-4-2,4-3-3,Juan Martínez,Match Report,,2023-2024,Getafe
2023-09-02,16:15,La Liga,Matchweek 4,Sat,Away,L,1,2,Real Madrid,0.4,2.8,24.0,66747,Djené,4-1-3-2,4-3-1-2,Mario Melero,Match Report,,2023-2024,Getafe
2023-09-17,14:00,La Liga,Matchweek 5,Sun,Home,W,3,2,Osasuna,0.5,1.1,44.0,9808,Djené,4-4-2,4-3-3,Alejandro Hernández,Match Report,,2023-2024,Getafe
2023-09-24,14:00,La Liga,Matchweek 6,Sun,Away,L,3,4,Real Sociedad,1.4,2.0,39.0,29568,Djené,4-2-3-1,4-4-2,Juan Pulido,Match Report,,2023-2024,Getafe
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Away,D,2,2,Athletic Club,1.4,0.7,51.0,43091,David Soria,5-4-1,4-2-3-1,Isidro Díaz de Mera,Match Report,,2023-2024,Getafe
2023-09-30,14:00,La Liga,Matchweek 8,Sat,Home,D,0,0,Villarreal,0.9,0.1,64.0,11255,Djené,4-4-2,4-4-2,Mateo Busquets,Match Report,,2023-2024,Getafe
2023-10-08,18:30,La Liga,Matchweek 9,Sun,Away,D,2,2,Celta Vigo,0.7,3.1,26.0,17953,Djené,4-4-2,4-4-2,José Sánchez,Match Report,,2023-2024,Getafe
2023-10-21,16:15,La Liga,Matchweek 10,Sat,Home,D,1,1,Betis,1.5,1.1,45.0,13926,Damián Suárez,4-4-2,4-2-3-1,César Soto,Match Report,,2023-2024,Getafe
2023-10-28,18:30,La Liga,Matchweek 11,Sat,Away,D,0,0,Mallorca,0.2,0.9,41.0,15310,Djené,4-4-2,4-4-2,Pablo González,Match Report,,2023-2024,Getafe
2023-11-01,18:30,Copa del Rey,First round,Wed,Away,W,12,0,Tardienta,,,70.0,1200,Carles Aleñá,4-4-2,4-2-3-1,Víctor García,Match Report,,2023-2024,Getafe
2023-11-06,21:00,La Liga,Matchweek 12,Mon,Home,W,1,0,Cádiz,1.2,0.5,45.0,9853,Djené,4-4-2,4-4-2,Ricardo de Burgos,Match Report,,2023-2024,Getafe
2023-11-11,18:30,La Liga,Matchweek 13,Sat,Away,D,1,1,Granada,2.3,1.7,42.0,18103,David Soria,4-2-3-1,4-2-2-2,Alejandro Muñíz,Match Report,,2023-2024,Getafe
2023-11-25,18:30,La Liga,Matchweek 14,Sat,Home,W,2,1,Almería,1.2,1.8,53.0,10906,Damián Suárez,4-4-2,4-2-3-1,Alejandro Hernández,Match Report,,2023-2024,Getafe
2023-12-01,20:00,La Liga,Matchweek 15,Fri,Away,L,0,2,Las Palmas,0.9,1.5,30.0,21912,Djené,4-4-1-1,4-5-1,Mateo Busquets,Match Report,,2023-2024,Getafe
2023-12-05,19:00,Copa del Rey,Second round,Tue,Away,W,2,1,Atzeneta,,,49.0,5000,Damián Suárez,4-4-2,4-4-2,José Luis Munuera,Match Report,,2023-2024,Getafe
2023-12-08,21:00,La Liga,Matchweek 16,Fri,Home,W,1,0,Valencia,0.7,0.1,67.0,11515,Djené,4-4-2,4-4-2,Guillermo Cuadra,Match Report,,2023-2024,Getafe
2023-12-16,18:30,La Liga,Matchweek 17,Sat,Away,W,3,0,Sevilla,2.4,1.0,43.0,30005,Djené,4-4-2,5-3-2,Juan Pulido,Match Report,,2023-2024,Getafe
2023-12-19,21:30,La Liga,Matchweek 18,Tue,Away,D,3,3,Atlético Madrid,2.0,2.0,58.0,46401,Jaime Mata,4-4-2,3-5-2,José Luis Munuera,Match Report,,2023-2024,Getafe
2024-01-02,17:00,La Liga,Matchweek 19,Tue,Home,L,0,2,Rayo Vallecano,0.4,1.9,38.0,11204,Djené,4-4-2,4-4-2,Jorge Figueroa,Match Report,,2023-2024,Getafe
2024-01-06,17:00,Copa del Rey,Round of 32,Sat,Away,W,1,0,Espanyol,,,47.0,15197,David Soria,4-4-2,4-4-2,Mario Melero,Match Report,,2023-2024,Getafe
2024-01-16,20:00,Copa del Rey,Round of 16,Tue,Home,L,1,3,Sevilla,,,66.0,12581,Djené,4-4-2,3-5-2,Alejandro Muñíz,Match Report,,2023-2024,Getafe
2024-01-21,14:00,La Liga,Matchweek 21,Sun,Away,L,2,3,Osasuna,1.4,1.2,57.0,18811,Djené,4-4-2,3-5-2,José Sánchez,Match Report,,2023-2024,Getafe
2024-01-29,21:00,La Liga,Matchweek 22,Mon,Home,W,2,0,Granada,1.3,1.9,40.0,10382,Djené,4-4-2,4-3-3,Víctor García,Match Report,,2023-2024,Getafe
2024-02-01,21:00,La Liga,Matchweek 20,Thu,Home,L,0,2,Real Madrid,0.8,2.0,42.0,15264,Djené,4-4-2,4-3-1-2,Ricardo de Burgos,Match Report,,2023-2024,Getafe
2024-02-04,18:30,La Liga,Matchweek 23,Sun,Away,D,1,1,Betis,1.5,1.6,46.0,53336,Djené,4-4-2,4-2-3-1,Juan Pulido,Match Report,,2023-2024,Getafe
2024-02-11,14:00,La Liga,Matchweek 24,Sun,Home,W,3,2,Celta Vigo,2.1,1.2,48.0,11502,Djené,4-4-2,3-4-3,Alejandro Hernández,Match Report,,2023-2024,Getafe
2024-02-16,21:00,La Liga,Matchweek 25,Fri,Away,D,1,1,Villarreal,0.8,1.2,45.0,16869,Djené,4-4-2,4-4-2,Javier Alberola,Match Report,,2023-2024,Getafe
2024-02-24,16:15,La Liga,Matchweek 26,Sat,Away,L,0,4,Barcelona,0.5,3.1,33.0,36803,Djené,4-5-1,4-3-3,Alejandro Muñíz,Match Report,,2023-2024,Getafe
2024-03-02,18:30,La Liga,Matchweek 27,Sat,Home,D,3,3,Las Palmas,2.3,1.6,28.0,7623,Jaime Mata,4-3-3,4-5-1,Pablo González,Match Report,,2023-2024,Getafe
2024-03-09,14:00,La Liga,Matchweek 28,Sat,Away,L,0,1,Valencia,1.3,0.8,49.0,37961,Djené,4-4-2,4-4-2,Juan Pulido,Match Report,,2023-2024,Getafe
2024-03-16,18:30,La Liga,Matchweek 29,Sat,Home,W,1,0,Girona,1.2,1.8,41.0,12912,Djené,4-1-4-1,4-2-3-1,José Luis Munuera,Match Report,,2023-2024,Getafe
2024-03-30,14:00,La Liga,Matchweek 30,Sat,Home,L,0,1,Sevilla,1.6,0.8,66.0,10139,Djené,4-1-4-1,5-3-2,Javier Villanueva,Match Report,,2023-2024,Getafe
2024-04-13,16:15,La Liga,Matchweek 31,Sat,Away,D,0,0,Rayo Vallecano,0.3,1.0,37.0,12868,Djené,4-4-1-1,4-4-2,Jorge Figueroa,Match Report,,2023-2024,Getafe
2024-04-21,14:00,La Liga,Matchweek 32,Sun,Home,D,1,1,Real Sociedad,0.5,1.2,41.0,12228,Djené,4-2-3-1,4-3-3,Víctor García,Match Report,,2023-2024,Getafe
2024-04-27,16:15,La Liga,Matchweek 33,Sat,Away,W,3,1,Almería,1.7,2.4,44.0,7874,Djené,4-2-3-1,4-2-3-1,Guillermo Cuadra,Match Report,,2023-2024,Getafe
2024-05-03,21:00,La Liga,Matchweek 34,Fri,Home,L,0,2,Athletic Club,4.5,0.6,64.0,12149,Djené,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,,2023-2024,Getafe
2024-05-12,14:00,La Liga,Matchweek 35,Sun,Away,L,0,1,Cádiz,0.5,1.5,55.0,16592,Djené,5-3-2,4-4-2,Ricardo de Burgos,Match Report,,2023-2024,Getafe
2024-05-15,22:00,La Liga,Matchweek 36,Wed,Home,L,0,3,Atlético Madrid,0.6,1.3,45.0,13027,David Soria,4-4-1-1,5-4-1,Mario Melero,Match Report,,2023-2024,Getafe
