Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team
2023-07-11,17:30,Champions Lg,First qualifying round,Tue,Away,W,2,1,gi Red Imps,,,,683,Shakhruddin Magomedaliyev,4-2-3-1,4-3-3,Vitālijs Spasjoņņikovs,Match Report,Leg 1 of 2,2023-2024,Qarabag-FK
2023-07-19,20:00,Champions Lg,First qualifying round,Wed,Home,W,4,0,gi Red Imps,,,,19453,Badavi Huseynov,4-2-3-1,4-3-3,Eldorjan Hamiti,Match Report,Leg 2 of 2; Qarabağ won,2023-2024,Qarabag-FK
2023-07-26,20:15,Champions Lg,Second qualifying round,Wed,Away,L,2,3,pl Raków,,,,5451,Shakhruddin Magomedaliyev,4-2-3-1,3-4-3,Lukas Fähndrich,Match Report,Leg 1 of 2,2023-2024,Qarabag-FK
2023-08-02,20:00,Champions Lg,Second qualifying round,Wed,Home,D,1,1,pl Raków,,,,31257,Shakhruddin Magomedaliyev,4-2-3-1,3-4-3,Sven Jablonski,Match Report,Leg 2 of 2; Raków won,2023-2024,Qarabag-FK
2023-08-10,20:00,Europa Lg,Third qualifying round,Thu,Home,W,2,1,fi HJK,,,67.0,24984,Shakhruddin Magomedaliyev,4-2-3-1,3-4-3,Roi Reinshreiber,Match Report,Leg 1 of 2,2023-2024,Qarabag-FK
2023-08-17,19:00,Europa Lg,Third qualifying round,Thu,Away,W,2,1,fi HJK,,,50.0,7612,Shakhruddin Magomedaliyev,4-2-3-1,3-4-3,Willy Delajod,Match Report,Leg 2 of 2; Qarabağ won,2023-2024,Qarabag-FK
2023-08-24,20:00,Europa Lg,Play-off round,Thu,Away,W,2,0,si Olimpija,,,,6123,Abdellah Zoubir,4-2-3-1,4-4-2,Georgi Kabakov,Match Report,Leg 1 of 2,2023-2024,Qarabag-FK
2023-08-31,20:00,Europa Lg,Play-off round,Thu,Home,D,1,1,si Olimpija,,,,27354,Abdellah Zoubir,4-2-3-1,4-3-3,Alejandro Hernández,Match Report,Leg 2 of 2; Qarabağ won,2023-2024,Qarabag-FK
2023-09-21,20:45,Europa Lg,Group stage,Thu,Home,W,1,0,no Molde,1.8,0.2,62.0,26500,Maksim Medvedev,4-2-3-1,3-5-2,John Beaton,Match Report,,2023-2024,Qarabag-FK
2023-10-05,21:00,Europa Lg,Group stage,Thu,Away,W,1,0,se Häcken,0.9,0.8,52.0,8124,Badavi Huseynov,4-2-3-1,4-3-3,Sebastian Gishamer,Match Report,,2023-2024,Qarabag-FK
2023-10-26,21:00,Europa Lg,Group stage,Thu,Away,L,1,5,de Leverkusen,0.9,2.5,39.0,29039,Abdellah Zoubir,4-2-3-1,4-2-3-1,Horațiu Fesnic,Match Report,,2023-2024,Qarabag-FK
2023-11-09,21:45,Europa Lg,Group stage,Thu,Home,L,0,1,de Leverkusen,0.9,1.7,38.0,30055,Abdellah Zoubir,4-1-4-1,3-4-3,Craig Pawson,Match Report,,2023-2024,Qarabag-FK
2023-11-30,21:00,Europa Lg,Group stage,Thu,Away,D,2,2,no Molde,1.4,2.9,42.0,5291,Abdellah Zoubir,4-2-3-1,5-3-2,Erik Lambrechts,Match Report,,2023-2024,Qarabag-FK
